words,noun,adverb,preposition,adjective,verb,conjunction,interjection,pronoun,proper_noun,numeral
a,1,1,1,1,0,0,0,0,0,0
about,0,1,1,1,0,0,0,0,0,0
above,1,1,1,1,0,0,0,0,0,0
academy,1,0,0,0,0,0,0,0,0,0
accent,1,0,0,0,1,0,0,0,0,0
accident,1,0,0,0,0,0,0,0,0,0
across,1,1,1,0,0,0,0,0,0,0
act,1,0,0,0,1,0,0,0,0,0
add,1,0,0,0,1,0,0,0,0,0
address,1,0,0,0,1,0,0,0,0,0
adult,1,0,0,1,1,0,0,0,0,0
adventure,1,0,0,0,1,0,0,0,0,0
advise,0,0,0,0,1,0,0,0,0,0
afraid,0,0,0,1,0,0,0,0,0,0
after,0,1,1,1,0,1,0,0,0,0
afternoon,1,1,0,0,0,0,1,0,0,0
again,0,1,1,0,0,0,0,0,0,0
against,0,0,1,0,0,1,0,0,0,0
age,1,0,0,0,1,0,0,0,0,0
ago,0,1,0,1,0,0,0,0,0,0
agree,0,0,0,0,1,0,0,0,0,0
ahead,0,1,0,0,0,0,0,0,0,0
air,1,0,0,0,1,0,0,0,0,0
airplane,1,0,0,0,1,0,0,0,0,0
aeroplane,1,0,0,0,1,0,0,0,0,0
plane,1,0,0,1,1,0,0,0,0,0
airline,1,0,0,0,0,0,0,0,0,0
airport,1,0,0,0,0,0,0,0,0,0
all,1,1,0,1,0,1,0,1,0,0
almost,1,1,0,0,0,0,0,0,0,0
alone,0,1,0,1,0,0,0,0,0,0
along,0,1,1,0,0,0,0,0,0,0
aloud,0,1,0,1,0,0,0,0,0,0
already,0,1,0,0,0,0,0,0,0,0
alright,0,0,0,1,0,0,1,0,0,0
also,0,1,0,0,0,0,0,0,0,0
always,0,1,0,0,0,0,0,0,0,0
A.M.,0,1,0,1,0,0,0,0,0,0
a.m.,0,1,0,1,0,0,0,0,0,0
and,1,0,0,0,1,1,0,0,0,0
angel,1,0,0,0,1,0,0,0,0,0
anger,1,0,0,0,1,0,0,0,0,0
animal,1,0,0,1,0,0,0,0,0,0
another,0,0,0,0,0,0,0,1,0,0
answer,1,0,0,0,1,0,0,0,0,0
ant,1,0,0,0,1,0,0,0,0,0
any,0,1,0,0,0,0,0,1,0,0
apple,1,0,0,0,1,0,0,0,0,0
area,1,0,0,0,0,0,0,0,0,0
arm,1,0,0,1,1,0,0,0,0,0
around,0,1,1,1,0,0,0,0,0,0
arrive,0,0,0,0,1,0,0,0,0,0
art,1,0,0,0,0,0,0,0,0,0
as,1,1,1,0,0,1,0,0,0,0
ask,1,0,0,0,1,0,0,0,0,0
at,1,0,1,0,1,0,0,1,0,0
aunt,1,0,0,0,0,0,0,0,0,0
away,0,1,0,1,1,0,1,0,0,0
baby,1,0,0,1,1,0,0,0,0,0
babied,0,0,0,1,1,0,0,0,0,0
back,1,1,0,1,1,0,0,0,0,0
background,1,0,0,1,1,0,0,0,0,0
bad,1,1,0,1,1,0,0,0,0,0
worse,1,1,0,1,1,0,0,0,0,0
worst,1,1,0,1,1,0,0,0,0,0
bake,1,0,0,0,1,0,0,0,0,0
ball,1,0,0,0,1,0,1,0,0,0
balloon,1,0,0,0,1,0,0,0,0,0
band,1,0,0,0,1,0,0,0,0,0
bank,1,0,0,0,1,0,0,0,0,0
base,1,0,0,1,1,0,0,0,0,0
bases,1,0,0,0,1,0,0,0,0,0
baseball,1,0,0,0,0,0,0,0,0,0
basic,1,0,0,1,0,0,0,0,0,0
basket,1,0,0,0,1,0,0,0,0,0
basketball,1,0,0,0,0,0,0,0,0,0
bat,1,0,0,0,1,0,0,0,0,0
batted,0,0,0,0,1,0,0,0,0,0
batting,1,0,0,0,1,0,0,0,0,0
bath,1,0,0,0,1,0,0,0,0,0
bathroom,1,0,0,0,0,0,0,0,0,0
battery,1,0,0,0,0,0,0,0,0,0
battle,1,0,0,1,1,0,0,0,0,0
am,0,1,0,0,0,0,0,0,0,0
are,1,0,0,0,0,0,0,0,0,0
been,1,0,0,0,0,0,0,0,0,0
were,1,0,0,0,0,0,0,0,0,0
beach,1,0,0,0,1,0,0,0,0,0
bean,1,0,0,0,1,0,0,0,0,0
bear,1,0,0,1,1,0,0,0,0,0
bore,1,0,0,0,1,0,0,0,0,0
born,1,0,0,1,1,0,0,0,0,0
borne,0,0,0,1,1,0,0,0,0,0
beauty,1,0,0,1,1,0,1,0,0,0
because,0,1,1,0,0,1,0,0,0,0
become,0,0,0,0,1,0,0,0,0,0
became,0,0,0,0,1,0,0,0,0,0
bed,1,0,0,0,1,0,0,0,0,0
bed,1,0,0,0,1,0,0,0,0,0
bedded,0,0,0,0,1,0,0,0,0,0
bedding,1,0,0,0,1,0,0,0,0,0
bedroom,1,0,0,0,0,0,0,0,0,0
bee,1,0,0,0,1,0,0,0,0,0
beef,1,0,0,1,1,0,0,0,0,0
beeves,1,0,0,0,0,0,0,0,0,0
before,0,1,1,0,0,1,0,0,0,0
begin,1,0,0,0,1,0,0,0,0,0
began,0,0,0,0,1,0,0,0,0,0
beginning,1,0,0,1,1,0,0,0,0,0
begun,0,0,0,0,1,0,0,0,0,0
behind,1,1,1,0,0,0,0,0,0,0
believe,0,0,0,0,1,0,0,0,0,0
bell,1,0,0,0,1,0,0,0,0,0
below,0,1,1,0,0,0,0,0,0,0
beside,0,1,1,0,0,0,0,0,0,0
between,1,0,1,0,0,0,0,0,0,0
bicycle,1,0,0,0,1,0,0,0,0,0
big,1,1,0,1,1,0,0,0,0,0
bigger,0,0,0,1,1,0,0,0,0,0
biggest,0,0,0,1,0,0,0,0,0,0
bill,1,0,0,0,1,0,0,0,0,0
bird,1,0,0,0,1,0,0,0,0,0
birth,1,0,0,1,1,0,0,0,0,0
birthday,1,0,0,0,1,0,0,0,0,0
bite,1,0,0,0,1,0,0,0,0,0
bit,1,0,0,1,1,0,0,0,0,0
bitten,0,0,0,0,1,0,0,0,0,0
black,1,0,0,1,1,0,0,0,0,0
block,1,0,0,0,1,0,0,0,0,0
blood,1,0,0,0,1,0,0,0,0,0
blue,1,0,0,1,1,0,0,0,0,0
bluer,1,0,0,1,0,0,0,0,0,0
bluest,0,0,0,1,0,0,0,0,0,0
board,1,0,0,0,1,0,0,0,0,0
boat,1,0,0,0,1,0,0,0,0,0
body,1,0,0,0,1,0,0,0,0,0
bodied,0,0,0,1,1,0,0,0,0,0
bomb,1,0,0,1,1,0,0,0,0,0
bone,1,0,0,1,1,0,0,0,0,0
book,1,0,0,0,1,0,0,0,0,0
boot,1,0,0,0,1,0,0,0,0,0
borrow,1,0,0,0,1,0,0,0,0,0
boss,1,0,0,1,1,0,0,0,0,0
both,0,0,0,0,0,1,0,1,0,0
bottle,1,0,0,0,1,0,0,0,0,0
bottom,1,0,0,1,1,0,0,0,0,0
